,XID,Name,Kind,City,OSM,WikiData,Rate,Lon,Lat
201,R7140571,Авиамеханический колледж,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Владимир,relation/7140571,Q18786015,3h,40.387318,56.126278
202,R5606302,Собор Успения Пресвятой Богородицы,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",Владимир,relation/5606302,Q775487,3h,40.409214,56.127438
203,W131632302,Троицкая церковь,"religion,churches,interesting_places,eastern_orthodox_churches",Владимир,way/131632302,Q9187382,3h,40.396076,56.126453
204,N1923952002,Дом-музей Столетовых,"biographical_museums,historic_house_museums,cultural,museums,interesting_places,history_museums",Владимир,node/1923952002,Q107422934,3h,40.413654,56.132446
205,W131632312,Исторический музей,"cultural,museums,interesting_places,history_museums",Владимир,way/131632312,Q21639947,3h,40.410965,56.130333
206,W173146726,Князь-Владимирская церковь,"religion,churches,interesting_places,eastern_orthodox_churches",Владимир,way/173146726,Q65062793,3h,40.436531,56.14286
207,R5587112,Владимирский академический областной драматический театр,"cultural,theatres_and_entertainments,interesting_places,other_theatres",Владимир,relation/5587112,Q56230588,3h,40.396076,56.125618
208,R7209239,"Здание Присутственных мест. ""Палаты""","cultural,museums,interesting_places,art_galleries",Владимир,relation/7209239,Q21639730,3h,40.41021,56.128372
209,R5587113,Бывшая водонапорная башня,"towers,architecture,interesting_places,water_towers",Владимир,relation/5587113,Q4114100,3h,40.398781,56.125111
210,W163195444,Костел Святого Розария Пресвятой Девы Марии Римско-Католической Церкви,"religion,churches,interesting_places,catholic_churches",Владимир,way/163195444,Q3580427,3h,40.394875,56.124916
211,W129295802,Дмитриевский собор,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",Владимир,way/129295802,Q550346,3h,40.410942,56.129208
212,W146322037,Богородице-Рождественский мужской монастырь,"religion,monasteries,interesting_places",Владимир,way/146322037,Q4089667,3h,40.414005,56.131298
213,R5471545,Успенский Княгинин монастырь,"religion,monasteries,interesting_places",Владимир,relation/5471545,Q4478034,3h,40.398716,56.131477
214,N1905368022,Золотые ворота,"architecture,towers,fortifications,historic,museums,other_museums,other_towers,fortified_towers,historic_architecture,defensive_walls,monuments_and_memorials,cultural,interesting_places,monuments,triumphal_archs",Владимир,node/1905368022,Q775020,3h,40.397278,56.126831
215,Q240549,Владимирский централ,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Владимир,,Q240549,3h,40.432663,56.141544
216,Q4113277,Владимирский государственный гуманитарный университет,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Владимир,,Q4113277,3h,40.379169,56.146389
217,Q19906501,Владимирское духовное училище,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Владимир,,Q19906501,3h,40.410999,56.1366
218,Q838264,Белокаменные памятники Владимира и Суздаля,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Владимир,,Q838264,3h,40.416698,56.150002
219,Q4113284,Владимирский планетарий,"planetariums,religion,churches,cultural,museums,interesting_places,other_churches",Владимир,,Q4113284,3h,40.411942,56.130829
220,Q19916149,Храм Казанской иконы Божией Матери,"religion,other_temples,interesting_places",Владимир,,Q19916149,3h,40.363838,56.120659
221,Q21639718,Здание городской думы,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Владимир,,Q21639718,3h,40.406441,56.128639
222,N3880871297,Музей ложки,"cultural,museums,children_museums,interesting_places,history_museums,art_galleries",Владимир,node/3880871297,Q62560931,3,40.40321,56.127506
